date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:22:54	14402/14402	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202020%2015:43:20%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner31.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner31.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:00	72507/72507	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2016:49:54%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide33.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide33.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:01	100858/100858	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2016:46:04%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide32.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide32.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:02	35534/35534	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2016:25:56%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner32.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner32.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:03	133805/133805	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2016:47:14%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide31.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide31.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:04	10742/10742	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:01:46%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro171-1-270x350.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro171-1-270x350.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:04	24791/24791	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2016:32:26%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner33.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner33.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:06	3719/3719	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Feb%202020%2015:56:18%20GMT	http://tuongnam.com.vn/kobolg/assets/images/avatar1.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/avatar1.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:06	5307/5307	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Feb%202020%2015:56:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/avatar3.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/avatar3.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:07	4394/4394	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Feb%202020%2015:56:24%20GMT	http://tuongnam.com.vn/kobolg/assets/images/avatar2.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/avatar2.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:10	97000/97000	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:13:08%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro201-1-270x350.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro201-1-270x350.jpg	(from http://tuongnam.com.vn/kobolg/home-03.html)
08:23:13	44322/44322	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2004:15:12%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide41.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide41.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:14	12302/12302	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2014:28:58%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner41.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner41.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:17	67236/67236	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2004:27:16%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide42.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide42.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:17	13526/13526	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:07:04%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro83-1-270x350.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro83-1-270x350.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:19	10386/10386	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:10:04%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro191-1-270x350.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro191-1-270x350.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:19	19136/19136	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Apr%202020%2014:26:40%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner42.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner42.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:21	3257/3257	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202019%2001:11:24%20GMT	http://tuongnam.com.vn/kobolg/assets/images/brand-logo-1.png	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/brand-logo-1.png	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:22	104075/104075	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2004:30:44%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide43.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide43.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:22	22027/22027	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Apr%202020%2015:50:32%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner4-6.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner4-6.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:22	1924/1924	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202019%2001:11:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/brand-logo-5.png	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/brand-logo-5.png	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:23	4869/4869	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202019%2001:11:34%20GMT	http://tuongnam.com.vn/kobolg/assets/images/brand-logo-4.png	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/brand-logo-4.png	(from http://tuongnam.com.vn/kobolg/home-04.html)
